name,sku,category,quantity,costPrice,sellingPrice,supplierName
Cotton Crewneck Tee,SHIRT-COT-S,Apparel,45,1200,2200,AeroTextile Industries
Wireless Office Mouse,MOU-WRL-01,Electronics,8,850,1500,NexTech Distribution
Classic Wooden Chair,FUR-WD-CH,Furniture,3,4500,7999,TimberCraft Carpentry
Premium Dark Roast Coffee,FOB-COF-DR,Food & Beverage,60,650,1100,Organic Beans Co.
Organic Aloe Vera Cream,BEA-AL-CRM,Beauty & Health,15,350,750,Herbal Beauty Lab
Industrial Screws M8,TLS-SCR-M8,Tools & Machinery,150,5,15,Apex Industrial Parts
HD LCD Projector,ELC-PRJ-HD,Electronics,2,18500,29999,NexTech Distribution
Recycled Paper Box,PKG-BOX-R,Packaging,500,12,35,Apex Industrial Parts
Ergonomic Leather Sofa,FUR-LTH-SF,Furniture,1,32000,54999,TimberCraft Carpentry
Stainless Steel Flask,MISC-FLS-SS,Miscellaneous,22,950,1800,AeroTextile Industries
